ParkName,ParkCode,LocationID,PeriodID,EventID,TransectNumber,SampleLocation,SampleLocationDescr,ChannelType,ChannelTypeDescr,HydroMoss_HY,Boulders_BO,Artificial_AR,SmallWoodDeb_SWD,LargeWoodDeb_LWD,TreesRoots_TR,OverhangVeg_OV,UndercutBank_UC,Bluff_BL,Comment
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,11,L,Left,main,The channel that contains the majority of flow,-1,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,11,M,Middle,main,The channel that contains the majority of flow,-1,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,11,R,Right,main,The channel that contains the majority of flow,-1,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,1,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,1,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,1,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,2,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,2,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,2,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,3,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,3,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,3,R,Right,main,The channel that contains the majority of flow,0,-1,0,-1,0,-1,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,4,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,4,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,4,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,5,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,-1,-1,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,5,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,5,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,6,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,6,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,6,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,7,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,7,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,7,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,8,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,8,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,8,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,-1,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,9,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,9,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,9,R,Right,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,-1,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,10,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,10,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,10,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,-1,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,11,L,Left,main,The channel that contains the majority of flow,0,0,0,0,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,11,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,11,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,1,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,1,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,1,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,2,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,2,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,2,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,3,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,3,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,3,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,4,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,4,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,4,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,5,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,5,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,5,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,6,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,6,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,6,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,7,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,7,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,7,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,8,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,8,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,8,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,9,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,9,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,9,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,10,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,10,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,10,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,11,L,Left,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,11,M,Middle,Main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,11,R,Right,Main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,1,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,1,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,1,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,2,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,2,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,2,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,3,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,3,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,3,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,4,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,4,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,4,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,-1,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,5,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,5,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,5,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,-1,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,6,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,6,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,6,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,7,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,7,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,7,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,-1,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,8,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,8,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,8,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,-1,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,9,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,9,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,9,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,-1,-1,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,10,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,10,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,10,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,11,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,11,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,11,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,1,L,Left,main,The channel that contains the majority of flow,-1,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,1,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,1,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,2,L,Left,main,The channel that contains the majority of flow,0,-1,0,-1,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,2,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,2,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,3,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,3,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,3,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,4,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,4,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,4,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,5,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,5,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,5,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,6,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,6,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,6,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,7,L,Left,main,The channel that contains the majority of flow,-1,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,7,M,Middle,main,The channel that contains the majority of flow,-1,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,7,R,Right,main,The channel that contains the majority of flow,-1,0,0,-1,0,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,8,L,Left,main,The channel that contains the majority of flow,-1,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,8,M,Middle,main,The channel that contains the majority of flow,-1,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,8,R,Right,main,The channel that contains the majority of flow,-1,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,9,L,Left,main,The channel that contains the majority of flow,-1,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,9,M,Middle,main,The channel that contains the majority of flow,-1,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,9,R,Right,main,The channel that contains the majority of flow,-1,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,10,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,10,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,10,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,11,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,11,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,11,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,1,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,1,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,1,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,2,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
